Date,Sample.ID,Qubit.µg.ml,sample.vol.µl,buffer.vol.µl,Qubit Dilution Factor,Tube.conc.ng.µl,Sample.Dilution,Original.conc.ng.µl
20161010,STND2,5.1,10,190,20,102,1,102
20161010,STND1,Out of range,10,190,20,Out of range,1,0
20161010,EPI-103,0.0175,1,199,200,3.5,1,3.5
20161010,EPI-104,0.0464,1,199,200,9.28,1,9.28
20161010,EPI-111,0.278,1,199,200,55.6,1,55.6
20161010,EPI-113,0.0941,1,199,200,18.8,1,18.8
20161010,EPI-119,0.088,1,199,200,17.6,1,17.6
20161010,EPI-120,0.0824,1,199,200,16.5,1,16.5
20161010,EPI-143,0.0123,1,199,200,2.46,1,2.46
20161010,EPI-145,0.0482,1,199,200,9.64,1,9.64
20161010,EPI-161,0.0113,1,199,200,2.26,1,2.26
20161010,EPI-162,0.0625,1,199,200,12.5,1,12.5
20161010,EPI-169,0.0738,1,199,200,14.8,1,14.8
20161010,EPI-170,0.0562,1,199,200,11.2,1,11.2
20161010,EPI-184,0.0373,1,199,200,7.46,1,7.46
20161010,EPI-185,0.0932,1,199,200,18.6,1,18.6
20161010,EPI-208,0.155,1,199,200,31,1,31
20161010,EPI-209,0.11,1,199,200,22,1,22
20161010,EPI-226,0.0657,1,199,200,13.1,1,13.1
20161010,EPI-227,0.158,1,199,200,31.6,1,31.6
20161010,EPI-242,0.031,1,199,200,6.2,1,6.2
20161010,EPI-243,0.0188,1,199,200,3.76,1,3.76
20161010,EPI-271,0.0105,1,199,200,2.1,1,2.1
20161010,EPI-272,0.0279,1,199,200,5.58,1,5.58
20161010,EPI-298,0.0174,1,199,200,3.48,1,3.48
20161010,EPI-299,0.0881,1,199,200,17.6,1,17.6
