Date,Sample.ID,Qubit.µg.ml,sample.vol.µl,buffer.vol.µl,Qubit Dilution Factor,Tube.conc.ng.µl,Sample.Dilution,Original.conc.ng.µl
20161004,EPI-127,0.176,1,199,200,35.2,1,35.2
20161004,EPI-128,0.149,1,199,200,29.8,1,29.8
20161004,EPI-135,0.101,1,199,200,20.2,1,20.2
20161004,EPI-136,0.0909,1,199,200,18.2,1,18.2
20161004,EPI-151,0.0592,1,199,200,11.8,1,11.8
20161004,EPI-152,0.084,1,199,200,16.8,1,16.8
20161004,EPI-159,0.107,1,199,200,21.4,1,21.4
20161004,EPI-160,0.0539,1,199,200,10.8,1,10.8
20161004,EPI-181,0.204,1,199,200,40.8,1,40.8
20161004,EPI-182,0.104,1,199,200,20.8,1,20.8
20161004,EPI-193,0.0463,1,199,200,9.26,1,9.26
20161004,EPI-194,0.0585,1,199,200,11.7,1,11.7
20161004,EPI-199,0.109,1,199,200,21.8,1,21.8
20161004,EPI-200,0.106,1,199,200,21.2,1,21.2
20161004,EPI-214,0.0665,1,199,200,13.3,1,13.3
20161004,EPI-215,0.113,1,199,200,22.6,1,22.6
20161004,EPI-235,0.0529,1,199,200,10.6,1,10.6
20161004,EPI-236,0.0433,1,199,200,8.66,1,8.66
20161004,EPI-257,0.077,1,199,200,15.4,1,15.4
20161004,EPI-258,0.0163,1,199,200,3.26,1,3.26
20161004,EPI-282,0.0517,1,199,200,10.3,1,10.3
20161004,EPI-283,0.0275,1,199,200,5.5,1,5.5
20161004,EPI-302,0.164,1,199,200,32.8,1,32.8
20161004,EPI-303,0.162,1,199,200,32.4,1,32.4
