Sample.ID,ng.µl,A260,A280,260/280,260/230
42L,38.78,0.970,0.842,1.15,0.63
272L,38.16,0.954,0.82,1.16,0.58
298L,43.89,1.097,0.897,1.22,0.67
42N,24.35,0.609,0.676,0.90,0.41
272N,22.44,0.561,0.674,0.83,0.39
298N,25.16,0.629,0.7,0.90,0.45
272WG,38.58,0.965,0.82,1.18,0.6
