Run ID,Test Name,Sample.Conc.ng.µl
2016-09-13_134453,EPI-56,2.78
2016-09-13_134453,EPI-S-309,2.58
2016-09-13_134453,Blank,0
2016-09-13_134453,Geo-10,2
2016-09-13_134453,EPI-103,6.14
2016-09-13_134453,EPI-M-309,4.1
2016-09-13_134453,S2,10.2
