Run ID,Sample.ID,Qubit.ng/ml,sample.vol.µl,buffer.vol.µl,Qubit Dilution Factor,Tube.conc.ng.µl,Sample.Dilution,Original.conc.ng.µl
2016-09-30_155530,Stnd2,5.3,1,199,200,1060.0,1,1060.0
2016-09-30_155530,EPI-230,0.0504,1,199,200,10.1,1,10.1
2016-09-30_155530,EPI-229,0.0868,1,199,200,17.4,1,17.4
2016-09-30_155530,EPI-221,0.15,1,199,200,30.0,1,30.0
2016-09-30_155530,EPI-220,0.244,1,199,200,48.8,1,48.8
2016-09-30_155530,EPI-206,0.0907,1,199,200,18.1,1,18.1
2016-09-30_155530,EPI-205,0.0593,1,199,200,11.9,1,11.9
2016-09-30_155530,EPI-188,0.0727,1,199,200,14.5,1,14.5
2016-09-30_155530,EPI-187,0.0854,1,199,200,17.1,1,17.1
2016-09-30_155530,EPI-176,0.0392,1,199,200,7.8,1,7.8
2016-09-30_155530,EPI-175,0.0981,1,199,200,19.6,1,19.6
2016-09-30_155530,EPI-168,0.0309,1,199,200,6.2,1,6.2
2016-09-30_155530,EPI-167,0.0662,1,199,200,13.2,1,13.2
2016-09-30_155530,Stnd2,5,1,199,200,1000.0,1,1000.0
2016-09-30_155530,EPI-167,0.0661,1,199,200,13.2,1,13.2
