Date,Tank,Rate1,Rate2
24-Mar-16,11,27.5,27.5
24-Mar-16,12,27.5,27
24-Mar-16,13,26.5,26
24-Mar-16,14,27,25.5
24-Mar-16,15,25.5,26
24-Mar-16,16,27,27.5
