Date,Tank,Treatment,Rate1,Rate2
24-Mar-16,11,Medium,27.5,27.5
24-Mar-16,12,High,27.5,27
24-Mar-16,13,Ambient,26.5,26
24-Mar-16,14,Medium,27,25.5
24-Mar-16,15,Ambient,25.5,26
24-Mar-16,16,High,27,27.5
