Measure.Date,Calib.Date,Exposure,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Bottle.number1,Bottle.number2
20160316,20160314,Exposure1,Tank11,Mid,14.78,-28.6,27.3,NA,NA
20160316,20160314,Exposure1,Tank12,High,14.64,-11.6,27.3,NA,NA
20160316,20160314,Exposure1,Tank13,Ambient,14.11,-57.7,27.3,NA,NA
20160316,20160314,Exposure1,Tank14,Mid,14.06,-28.5,27.3,NA,NA
20160316,20160314,Exposure1,Tank15,Ambient,14,-57.7,27.3,NA,NA
20160316,20160314,Exposure1,Tank16,High,14.28,-11,27.3,NA,NA
20160317,20160317,Exposure1,Tank11,Mid,13.86,-29.2,27.4,129,130
20160317,20160317,Exposure1,Tank12,High,14.12,-10,27.4,131,132
20160317,20160317,Exposure1,Tank13,Ambient,14.06,-58,27.4,133,134
20160317,20160317,Exposure1,Tank14,Mid,14,-28.9,27.4,135,136
20160317,20160317,Exposure1,Tank15,Ambient,14.08,-57.7,27.3,137,138
20160317,20160317,Exposure1,Tank16,High,14.07,-8.3,27.4,139,140
20160319,20160319,Exposure1,Tank11,Mid,13.84,-28.2,25.8,157,158
20160319,20160319,Exposure1,Tank12,High,13.83,-7,25.9,159,160
20160319,20160319,Exposure1,Tank13,Ambient,13.84,-56.8,26.1,161,162
20160319,20160319,Exposure1,Tank14,Mid,13.84,-28.7,25.8,163,164
20160319,20160319,Exposure1,Tank15,Ambient,13.84,-57.1,26.2,165,166
20160319,20160319,Exposure1,Tank16,High,13.86,-7.8,25.8,167,168
20160321,20160321_2,Exposure1,Tank11,Mid,13.81,-27.1,26.7,201,202
20160321,20160321_2,Exposure1,Tank12,High,13.8,-5.5,26.7,203,204
20160321,20160321_2,Exposure1,Tank13,Ambient,13.84,-57.4,26.8,205,206
20160321,20160321_2,Exposure1,Tank14,Mid,13.82,-27.7,26.7,207,208
20160321,20160321_2,Exposure1,Tank15,Ambient,13.75,-57.7,26.7,209,210
20160321,20160321_2,Exposure1,Tank16,High,13.84,-7.3,26.7,211,212
20160326,20160326,Exposure1,Tank11,Mid,14.76,-30.1,27.1,213,214
20160326,20160326,Exposure1,Tank12,High,14.81,-8.6,27.2,215,216
20160326,20160326,Exposure1,Tank13,Ambient,14.35,-58.3,27.2,217,218
20160326,20160326,Exposure1,Tank14,Mid,14.83,-29.6,27.2,219,220
20160326,20160326,Exposure1,Tank15,Ambient,14.33,-58.6,27.2,221,222
20160326,20160326,Exposure1,Tank16,High,14.85,-8,27.2,223,224
20160401,20160401,Exposure1,Tank11,Mid,15.6,-39.2,25.4,7,8
20160401,20160401,Exposure1,Tank12,High,15.68,-14.7,25.5,9,10
20160401,20160401,Exposure1,Tank13,Ambient,15.29,-69,25.4,11,12
20160401,20160401,Exposure1,Tank14,Mid,15.61,-32.4,25.5,13,14
20160401,20160401,Exposure1,Tank15,Ambient,15.28,-68.8,25.3,15,16
20160401,20160401,Exposure1,Tank16,High,15.79,-14,25.5,17,18
20160729,20160729,Exposure2,Bin1,Ambient,19.15,-64.5,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin2,Ambient,19.03,-65,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin3,Ambient,19.02,-65.2,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin4,Ambient,19.06,-65.3,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin5,Ambient,19.07,-65.3,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin6,Ambient,19,-65.4,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin7,Low,19.31,-41.5,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin8,Low,19.24,-41.3,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin9,Low,19.18,-41.3,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin10,Low,19.22,-41.5,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin11,Low,19.24,-41.2,28.5,From Katherine,From Katherine
20160729,20160729,Exposure2,Bin12,Low,19.23,-41.4,28.5,From Katherine,From Katherine
