Date,Tank,Treatment,Rate1
20160729,Bin1,Ambient,15
20160729,Bin2,Ambient,15
20160729,Bin3,Ambient,16
20160729,Bin4,Ambient,16
20160729,Bin5,Ambient,16
20160729,Bin6,Ambient,16
20160729,Bin7,Medium,15
20160729,Bin8,Medium,16
20160729,Bin9,Medium,16
20160729,Bin10,Medium,16
20160729,Bin11,Medium,16
20160729,Bin12,Medium,16
20160819,Bin1,Ambient,10.5
20160819,Bin2,Ambient,13
20160819,Bin3,Ambient,10.5
20160819,Bin4,Ambient,12
20160819,Bin5,Ambient,12
20160819,Bin6,Ambient,13
20160819,Bin7,Medium,12
20160819,Bin8,Medium,13.5
20160819,Bin9,Medium,11.5
20160819,Bin10,Medium,11.5
20160819,Bin11,Medium,14
20160819,Bin12,Medium,13.5
20160821,Bin1,Ambient,9.5
20160821,Bin2,Ambient,12
20160821,Bin3,Ambient,9.5
20160821,Bin4,Ambient,11
20160821,Bin5,Ambient,9.5
20160821,Bin6,Ambient,12.5
20160821,Bin7,Medium,11
20160821,Bin8,Medium,12.5
20160821,Bin9,Medium,11
20160821,Bin10,Medium,12
20160821,Bin11,Medium,12.5
20160821,Bin12,Medium,12.5
