Date & Time,"Internal Sensor - Temperature (C)","Internal Sensor - Humidity (%RH)","Internal Sensor - Heat Index (C)","pH-Header-Cont. - Custom Value","pH-Header-Cont. - Volts","pH-Header-Treat - Custom Value","pH-Header-Treat - Volts","Power Sensor","pH 1 Q - Temperature (C)","pH 1 Q - Custom Value","pH 1 Q - Volts","pH 2 Q - Temperature (C)","pH 2 Q - Custom Value","pH 2 Q - Volts","Salinity 3 - Temperature (C)","Salinity 3 - Custom Value","Salinity 3 - Volts","Salinity 4 - Temperature (C)","Salinity 4 - Custom Value","Salinity 4 - Volts","Tank 3 - Temperature (C)","Tank 6 - Temperature (C)","pH-Exp-Treat. - Temperature (C)","pH-Exp-Treat. - Custom Value","pH-Exp-Treat. - Volts","pH-Exp-Cont. - Temperature (C)","pH-Exp-Cont. - Custom Value","pH-Exp-Cont. - Volts","Switch Sen 1","Switch Sen 2","Switch Sen 3","Switch Sen 4","Switch Sen 5","Switch Sen 6","Switch Sen 7","Switch Sen 8","Switch Sen 9","Switch Sen 10","Switch Sen 11","Switch Sen 12","Switch Sen 13","Switch Sen 14","Switch Sen 15","Switch Sen 16","Relay Output 1 - Relay Output","Relay Output 2 - Relay Output","Light Tower 1","Light Tower 2","Q Tank 1 - Temperature (C)","Q Tank 1 - Power","Treatment A - Temperature (C)","Treatment B - Temperature (C)","WiSH 1 Switch","Header Tanks - Temperature (C)","Header Tanks - Power","Header 1 - Temperature (C)","Header 2 - Temperature (C)","WiSH 6 Switch","Q Tank 2 - Temperature (C)","Q Tank 2 - Power","Control A - Temperature (C)","Control B - Temperature (C)","WiSH 7 Switch","WiSH Ceiling - Temperature (C)","WiSH Ceiling - Power","Tank 5 - Temperature (C)","Tank 2 - Temperature (C)","WiSH 8 Switch"
8/2/16 - 0:57:49,25.30,36.17,25.30,8.05,4.22,7.58,4.03,0,28.20,8.02,3.29,28.80,7.60,3.17,27.60,31.20,2.56,27.30,24.00,2.20,20.06,20.93,29.40,8.10,4.24,30.90,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.28,15.56,0,25.70,4.62,18.43,18.43,0,16.20,4.72,14.18,14.53,0,,,,,
8/2/16 - 1:03:36,25.20,36.50,25.20,8.00,4.20,7.58,4.03,0,28.10,8.02,3.29,28.90,7.56,3.16,27.60,31.00,2.55,27.30,23.40,2.17,20.00,20.62,29.30,8.12,4.25,31.40,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.20,4.64,14.28,15.50,0,25.50,4.62,18.37,18.43,0,16.30,4.72,14.18,14.47,0,,,,,
8/2/16 - 1:08:46,25.20,36.50,25.20,8.05,4.22,7.58,4.03,0,28.20,7.98,3.28,29.00,7.56,3.16,27.60,31.00,2.55,27.20,23.40,2.17,20.00,20.75,29.50,8.12,4.25,31.20,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.28,15.37,0,25.50,4.62,18.37,18.43,0,16.20,4.72,14.18,14.47,0,,,,,
8/2/16 - 1:13:56,25.20,36.50,25.20,8.05,4.22,7.58,4.03,0,28.20,8.02,3.29,28.90,7.60,3.17,27.50,30.80,2.54,27.30,23.60,2.18,20.00,20.81,29.20,8.12,4.25,31.20,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.28,15.43,0,25.60,4.61,18.37,18.43,0,16.20,4.72,14.12,14.41,0,,,,,
8/2/16 - 1:19:21,25.10,36.82,25.10,8.00,4.20,7.58,4.03,0,28.10,7.98,3.28,28.70,7.56,3.16,27.40,31.00,2.55,27.20,23.60,2.18,20.00,20.81,29.50,8.10,4.24,31.20,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.28,15.43,0,25.60,4.61,18.43,18.43,0,16.20,4.72,14.12,14.41,0,,,,,
8/2/16 - 1:24:31,25.20,36.50,25.20,8.00,4.20,7.60,4.04,0,28.00,7.98,3.28,28.80,7.60,3.17,27.40,31.00,2.55,27.30,23.40,2.17,19.93,20.56,29.30,8.12,4.25,31.20,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.28,15.43,0,25.50,4.62,18.37,18.43,0,16.30,4.72,14.12,14.47,0,,,,,
8/2/16 - 1:29:42,25.10,36.82,25.10,8.00,4.20,7.60,4.04,0,28.00,8.05,3.30,28.80,7.56,3.16,27.40,31.20,2.56,27.20,24.00,2.20,19.93,20.62,29.30,8.10,4.24,30.90,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.28,15.43,0,25.50,4.61,18.37,18.43,0,16.20,4.72,14.12,14.47,0,,,,,
8/2/16 - 1:37:38,25.10,36.82,25.10,8.00,4.20,7.60,4.04,0,28.10,8.02,3.29,28.60,7.56,3.16,27.30,31.40,2.57,27.10,23.40,2.17,19.93,20.68,29.30,8.10,4.24,31.20,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.28,15.37,0,25.70,4.61,18.43,18.43,0,16.20,4.72,14.12,14.47,0,,,,,
8/2/16 - 1:42:48,25.10,36.50,25.10,8.05,4.22,7.60,4.04,0,27.90,8.02,3.29,28.80,7.56,3.16,27.30,31.00,2.55,27.10,23.60,2.18,19.87,20.56,29.00,8.12,4.25,30.80,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.00,4.63,14.22,15.37,0,25.50,4.61,18.37,18.43,0,16.10,4.72,14.12,14.47,0,,,,,
8/2/16 - 1:47:58,25.00,36.82,25.00,8.00,4.20,7.65,4.06,0,28.00,8.02,3.29,28.60,7.60,3.17,27.40,31.00,2.55,27.10,23.40,2.17,19.81,20.43,29.00,8.12,4.25,31.10,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.10,4.63,14.22,15.31,0,25.50,4.61,18.37,18.43,0,16.00,4.72,14.06,14.41,0,,,,,
8/2/16 - 1:53:08,24.90,36.82,24.90,8.05,4.22,7.65,4.06,0,27.90,7.98,3.28,28.80,7.60,3.17,27.30,31.00,2.55,27.20,23.20,2.16,19.87,20.50,29.20,8.12,4.25,31.10,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.10,4.63,14.22,15.31,0,25.60,4.61,18.37,18.43,0,16.00,4.72,14.06,14.41,0,,,,,
8/2/16 - 1:58:17,24.80,36.82,24.80,8.05,4.22,7.65,4.06,0,27.90,8.02,3.29,28.60,7.60,3.17,27.30,31.00,2.55,27.00,23.20,2.16,19.87,20.56,29.10,8.12,4.25,30.80,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.20,4.63,14.16,15.31,0,25.50,4.61,18.37,18.43,0,16.10,4.72,14.06,14.41,0,,,,,
8/2/16 - 2:04:08,24.90,36.82,24.90,8.00,4.20,7.65,4.06,0,28.00,8.02,3.29,28.50,7.60,3.17,27.20,31.00,2.55,27.00,23.20,2.16,19.87,20.43,29.00,8.12,4.25,30.70,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.22,15.37,0,25.50,4.61,18.37,18.43,0,16.30,4.72,14.12,14.47,0,,,,,
8/2/16 - 2:10:57,24.90,36.82,24.90,8.05,4.22,7.70,4.08,0,27.90,8.02,3.29,28.50,7.60,3.17,27.20,31.60,2.58,27.10,23.20,2.16,19.75,20.31,29.20,8.10,4.24,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.40,4.63,14.28,15.37,0,25.30,4.61,18.37,18.43,0,16.30,4.73,14.12,14.47,0,,,,,
8/2/16 - 2:16:07,24.80,36.82,24.80,8.05,4.22,7.65,4.06,0,27.90,8.02,3.29,28.50,7.56,3.16,27.20,31.00,2.55,26.80,23.40,2.17,19.81,20.43,28.80,8.15,4.26,30.50,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.50,4.63,14.28,15.37,0,25.50,4.61,18.37,18.43,0,16.50,4.72,14.18,14.47,0,,,,,
8/2/16 - 2:21:16,24.90,37.14,24.90,8.00,4.20,7.43,3.97,0,27.80,8.02,3.29,28.50,7.60,3.17,27.10,31.00,2.55,27.00,23.40,2.17,19.81,20.43,28.90,8.12,4.25,30.70,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.40,4.63,14.28,15.37,0,25.50,4.61,18.37,18.43,0,16.50,4.73,14.25,14.53,0,,,,,
8/2/16 - 2:26:26,24.80,36.82,24.80,8.00,4.20,7.40,3.96,0,27.70,8.02,3.29,28.50,7.60,3.17,27.00,31.00,2.55,27.10,23.40,2.17,19.68,20.31,29.00,8.15,4.26,30.90,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.35,15.37,0,25.40,4.61,18.37,18.43,0,16.40,4.72,14.18,14.53,0,,,,,
8/2/16 - 2:31:36,24.80,36.82,24.80,8.05,4.22,7.40,3.96,0,27.80,8.02,3.29,28.40,7.60,3.17,27.20,31.00,2.55,26.90,23.20,2.16,19.75,20.25,29.00,8.12,4.25,30.70,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.40,4.63,14.35,15.37,0,25.30,4.62,18.37,18.43,0,16.50,4.72,14.25,14.53,0,,,,,
8/2/16 - 2:36:46,24.70,37.14,24.70,8.05,4.22,7.40,3.96,0,27.80,8.02,3.29,28.40,7.60,3.17,27.00,31.00,2.55,26.90,23.20,2.16,19.75,20.43,28.80,8.10,4.24,30.50,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.50,4.63,14.35,15.43,0,25.30,4.61,18.37,18.43,0,16.50,4.72,14.31,14.60,0,,,,,
8/2/16 - 2:43:36,24.70,37.14,24.70,8.00,4.20,7.40,3.96,0,27.70,8.02,3.29,28.30,7.60,3.17,27.20,31.00,2.55,26.90,23.40,2.17,19.75,20.37,28.90,8.12,4.25,31.00,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.50,4.63,14.35,15.43,0,25.50,4.62,18.37,18.43,0,16.50,4.72,14.31,14.60,0,,,,,
8/2/16 - 2:48:46,24.70,37.14,24.70,8.05,4.22,7.43,3.97,0,27.70,8.02,3.29,28.30,7.60,3.17,27.10,31.20,2.56,26.80,23.40,2.17,19.68,20.31,28.80,8.12,4.25,30.50,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.41,15.43,0,25.30,4.61,18.37,18.43,0,16.70,4.73,14.31,14.60,0,,,,,
8/2/16 - 2:53:56,24.60,37.14,24.60,8.00,4.20,7.43,3.97,0,27.70,8.02,3.29,28.30,7.60,3.17,27.00,31.00,2.55,26.80,23.40,2.17,19.68,20.25,28.60,8.12,4.25,30.70,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.41,15.43,0,25.20,4.61,18.37,18.43,0,16.80,4.72,14.37,14.72,0,,,,,
8/2/16 - 2:59:26,24.60,37.14,24.60,8.00,4.20,7.43,3.97,0,27.70,8.02,3.29,28.20,7.60,3.17,27.10,31.00,2.55,26.70,23.20,2.16,19.68,20.37,28.70,8.10,4.24,30.40,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.47,15.37,0,25.50,4.62,18.37,18.43,0,16.80,4.72,14.37,14.72,0,,,,,
8/2/16 - 3:04:36,24.60,37.14,24.60,8.05,4.22,7.48,3.99,0,27.70,8.02,3.29,28.30,7.60,3.17,27.00,31.00,2.55,26.70,23.20,2.16,19.68,20.31,28.80,8.10,4.24,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.47,15.43,0,25.50,4.61,18.37,18.43,0,16.60,4.73,14.43,14.72,0,,,,,
8/2/16 - 3:10:16,24.60,37.14,24.60,8.00,4.20,7.48,3.99,0,27.60,8.02,3.29,28.30,7.60,3.17,27.00,31.40,2.57,26.70,23.40,2.17,19.68,20.43,28.70,8.10,4.24,30.40,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.47,15.43,0,25.20,4.61,18.37,18.43,0,16.70,4.72,14.43,14.72,0,,,,,
8/2/16 - 3:16:22,24.50,37.14,24.50,8.00,4.20,7.48,3.99,0,27.60,8.02,3.29,28.30,7.56,3.16,26.90,31.20,2.56,26.70,23.20,2.16,19.68,20.37,29.00,8.10,4.24,30.40,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.43,0,25.10,4.61,18.37,18.43,0,16.90,4.72,14.43,14.72,0,,,,,
8/2/16 - 3:21:32,24.60,37.14,24.60,8.00,4.20,7.48,3.99,0,27.60,8.02,3.29,28.20,7.60,3.17,27.00,31.20,2.56,26.60,23.20,2.16,19.68,20.31,28.80,8.10,4.24,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.43,0,25.40,4.61,18.37,18.43,0,16.80,4.72,14.50,14.78,0,,,,,
8/2/16 - 3:26:42,24.50,37.46,24.50,8.00,4.20,7.52,4.01,0,27.50,8.02,3.29,28.20,7.60,3.17,26.90,30.80,2.54,26.60,23.40,2.17,19.62,20.31,28.60,8.08,4.23,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.43,0,25.30,4.62,18.37,18.43,0,16.80,4.72,14.50,14.78,0,,,,,
8/2/16 - 3:32:06,24.50,37.14,24.50,8.00,4.20,7.52,4.01,0,27.60,8.02,3.29,28.10,7.60,3.17,26.90,31.00,2.55,26.70,23.40,2.17,19.68,20.37,28.80,8.10,4.24,30.40,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.43,0,25.10,4.61,18.37,18.43,0,16.90,4.73,14.50,14.78,0,,,,,
8/2/16 - 3:37:32,24.60,37.46,24.60,8.05,4.22,7.52,4.01,0,27.30,8.02,3.29,28.30,7.60,3.17,26.80,31.80,2.59,26.60,23.60,2.18,19.68,20.31,28.60,8.10,4.24,30.30,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.53,15.43,0,25.30,4.61,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 3:43:45,24.50,37.14,24.50,8.00,4.20,7.52,4.01,0,27.50,8.02,3.29,28.20,7.60,3.17,26.80,31.00,2.55,26.60,23.40,2.17,19.62,20.25,28.90,8.10,4.24,30.40,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.64,14.53,15.50,0,25.40,4.62,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 3:49:22,24.50,37.46,24.50,8.00,4.20,7.58,4.03,0,27.30,8.02,3.29,28.10,7.60,3.17,26.80,31.00,2.55,26.60,23.20,2.16,19.62,20.43,28.80,8.10,4.24,30.40,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.43,0,25.20,4.61,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 3:54:32,24.30,37.46,24.30,8.00,4.20,7.58,4.03,0,27.50,8.02,3.29,28.10,7.60,3.17,26.70,30.80,2.54,26.60,23.20,2.16,19.68,20.31,28.40,8.08,4.23,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.50,0,25.10,4.61,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 3:59:42,24.50,37.46,24.50,8.00,4.20,7.58,4.03,0,27.40,7.98,3.28,28.10,7.60,3.17,26.80,31.00,2.55,26.60,23.00,2.15,19.62,20.12,28.90,8.10,4.24,30.60,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.64,14.53,15.43,0,25.20,4.61,18.31,18.43,0,17.00,4.73,14.62,14.85,0,,,,,
8/2/16 - 4:05:05,24.40,37.14,24.40,8.05,4.22,7.60,4.04,0,27.40,8.02,3.29,28.20,7.60,3.17,26.80,31.00,2.55,26.70,23.40,2.17,19.62,20.31,28.50,8.08,4.23,30.20,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.64,14.53,15.43,0,25.30,4.61,18.37,18.43,0,16.80,4.72,14.56,14.91,0,,,,,
8/2/16 - 4:10:18,24.50,37.46,24.50,8.05,4.22,7.60,4.04,0,27.40,8.02,3.29,28.00,7.60,3.17,26.90,31.20,2.56,26.50,23.20,2.16,19.62,20.31,28.60,8.08,4.23,30.30,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.43,0,25.10,4.62,18.37,18.43,0,16.80,4.72,14.62,14.85,0,,,,,
8/2/16 - 4:15:27,24.40,37.14,24.40,8.05,4.22,7.60,4.04,0,27.40,8.02,3.29,28.00,7.60,3.17,26.80,31.00,2.55,26.50,23.20,2.16,19.62,20.25,28.40,8.08,4.23,30.20,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.43,0,25.10,4.61,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 4:20:37,24.40,37.46,24.40,8.05,4.22,7.65,4.06,0,27.30,8.02,3.29,28.00,7.60,3.17,26.90,31.20,2.56,26.40,23.20,2.16,19.56,20.12,28.50,8.08,4.23,30.20,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.60,15.37,0,25.20,4.61,18.37,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 4:27:18,24.30,37.46,24.30,8.05,4.22,7.65,4.06,0,27.40,8.02,3.29,28.00,7.60,3.17,26.80,31.20,2.56,26.40,23.40,2.17,19.56,20.12,28.50,8.08,4.23,30.30,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.37,0,25.30,4.61,18.37,18.43,0,16.90,4.72,14.62,14.85,0,,,,,
8/2/16 - 4:32:43,24.30,37.46,24.30,8.05,4.22,7.65,4.06,0,27.40,8.02,3.29,28.00,7.60,3.17,26.70,31.00,2.55,26.40,23.60,2.18,19.56,20.12,28.60,8.08,4.23,30.60,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.70,4.64,14.53,15.43,0,25.20,4.61,18.37,18.43,0,17.00,4.73,14.62,14.85,0,,,,,
8/2/16 - 4:38:59,24.30,37.46,24.30,8.05,4.22,7.65,4.06,0,27.40,8.02,3.29,28.00,7.60,3.17,26.70,31.00,2.55,26.40,23.20,2.16,19.56,20.12,28.70,8.08,4.23,30.10,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.53,15.43,0,25.10,4.61,18.31,18.43,0,16.80,4.72,14.56,14.85,0,,,,,
8/2/16 - 4:44:09,24.30,37.46,24.30,8.05,4.22,7.65,4.06,0,27.40,7.98,3.28,28.10,7.60,3.17,26.70,31.20,2.56,26.50,24.00,2.20,19.56,20.00,28.70,8.08,4.23,30.40,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.37,0,25.10,4.61,18.37,18.43,0,17.00,4.72,14.56,14.85,0,,,,,
8/2/16 - 4:50:47,24.30,37.46,24.30,8.05,4.22,7.65,4.06,0,27.30,8.02,3.29,28.00,7.60,3.17,26.70,31.20,2.56,26.50,23.40,2.17,19.56,20.06,28.50,8.08,4.23,30.30,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.47,15.37,0,25.20,4.62,18.31,18.43,0,16.80,4.73,14.56,14.85,0,,,,,
8/2/16 - 4:56:04,24.30,37.46,24.30,8.05,4.22,7.60,4.04,0,27.20,8.02,3.29,27.90,7.60,3.17,26.70,30.80,2.54,26.40,23.40,2.17,19.56,20.06,28.70,8.08,4.23,30.10,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.70,4.63,14.53,15.37,0,25.10,4.61,18.37,18.43,0,16.80,4.72,14.62,14.85,0,,,,,
8/2/16 - 5:02:29,24.30,37.46,24.30,8.05,4.22,7.48,3.99,0,27.20,8.02,3.29,27.90,7.60,3.17,26.70,31.20,2.56,26.30,23.40,2.17,19.56,20.00,28.20,8.05,4.22,30.20,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.37,0,25.00,4.62,18.37,18.43,0,17.00,4.72,14.56,14.85,0,,,,,
8/2/16 - 5:07:39,24.20,37.46,24.20,8.05,4.22,7.43,3.97,0,27.30,8.02,3.29,27.80,7.60,3.17,26.60,30.80,2.54,26.40,23.40,2.17,19.50,20.00,28.70,8.05,4.22,30.40,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.70,4.64,14.53,15.37,0,25.20,4.61,18.37,18.43,0,17.00,4.72,14.62,14.85,0,,,,,
8/2/16 - 5:12:51,24.20,37.46,24.20,8.05,4.22,7.43,3.97,0,27.30,7.98,3.28,28.00,7.60,3.17,26.60,31.00,2.55,26.40,23.40,2.17,19.50,20.00,28.50,8.08,4.23,30.00,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.37,0,25.20,4.61,18.31,18.43,0,17.10,4.72,14.62,14.91,0,,,,,
8/2/16 - 5:18:01,24.20,37.46,24.20,8.00,4.20,7.43,3.97,0,27.40,8.02,3.29,27.90,7.60,3.17,26.70,31.40,2.57,26.30,23.40,2.17,19.50,20.00,28.40,8.05,4.22,30.40,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.80,4.63,14.53,15.37,0,25.00,4.61,18.37,18.43,0,17.10,4.72,14.62,14.91,0,,,,,
8/2/16 - 5:23:11,24.30,37.46,24.30,8.05,4.22,7.43,3.97,0,27.20,8.02,3.29,27.90,7.60,3.17,26.60,30.80,2.54,26.30,23.40,2.17,19.50,20.00,28.50,8.08,4.23,30.20,8.22,4.29,,,,,,,,,,,,,,,,,0,0,,,16.80,4.64,14.53,15.37,0,25.00,4.61,18.37,18.43,0,16.90,4.73,14.62,14.91,0,,,,,
