Date & Time,"Internal Sensor - Temperature (C)","Internal Sensor - Humidity (%RH)","Internal Sensor - Heat Index (C)","pH-Header-Cont. - Custom Value","pH-Header-Cont. - Volts","pH-Header-Treat - Custom Value","pH-Header-Treat - Volts","Power Sensor","pH 1 Q - Temperature (C)","pH 1 Q - Custom Value","pH 1 Q - Volts","pH 2 Q - Temperature (C)","pH 2 Q - Custom Value","pH 2 Q - Volts","Salinity 3 - Temperature (C)","Salinity 3 - Custom Value","Salinity 3 - Volts","Salinity 4 - Temperature (C)","Salinity 4 - Custom Value","Salinity 4 - Volts","Tank 3 - Temperature (C)","Tank 6 - Temperature (C)","pH-Exp-Treat. - Temperature (C)","pH-Exp-Treat. - Custom Value","pH-Exp-Treat. - Volts","pH-Exp-Cont. - Temperature (C)","pH-Exp-Cont. - Custom Value","pH-Exp-Cont. - Volts","Switch Sen 1","Switch Sen 2","Switch Sen 3","Switch Sen 4","Switch Sen 5","Switch Sen 6","Switch Sen 7","Switch Sen 8","Switch Sen 9","Switch Sen 10","Switch Sen 11","Switch Sen 12","Switch Sen 13","Switch Sen 14","Switch Sen 15","Switch Sen 16","Relay Output 1 - Relay Output","Relay Output 2 - Relay Output","Light Tower 1","Light Tower 2","Q Tank 1 - Temperature (C)","Q Tank 1 - Power","Treatment A - Temperature (C)","Treatment B - Temperature (C)","WiSH 1 Switch","Header Tanks - Temperature (C)","Header Tanks - Power","Header 1 - Temperature (C)","Header 2 - Temperature (C)","WiSH 6 Switch","Q Tank 2 - Temperature (C)","Q Tank 2 - Power","Control A - Temperature (C)","Control B - Temperature (C)","WiSH 7 Switch","WiSH Ceiling - Temperature (C)","WiSH Ceiling - Power","Tank 5 - Temperature (C)","Tank 2 - Temperature (C)","WiSH 8 Switch"
8/2/16 - 0:04:43,25.70,35.83,25.70,8.00,4.20,7.43,3.97,0,28.60,7.94,3.27,29.40,7.56,3.16,28.00,31.00,2.55,27.80,23.40,2.17,20.25,21.06,29.70,8.12,4.25,31.90,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.66,15.87,0,25.60,4.62,18.43,18.43,0,16.60,4.72,14.56,14.85,0,,,,,
8/2/16 - 0:09:53,25.70,36.17,25.70,8.00,4.20,7.43,3.97,0,28.60,7.98,3.28,29.30,7.56,3.16,28.00,31.00,2.55,27.80,23.40,2.17,20.18,21.18,29.70,8.10,4.24,31.40,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.60,4.63,14.66,15.87,0,25.80,4.61,18.37,18.43,0,16.50,4.72,14.56,14.85,0,,,,,
8/2/16 - 0:15:03,25.70,35.83,25.70,8.00,4.20,7.43,3.97,0,28.50,7.94,3.27,29.30,7.60,3.17,28.00,31.20,2.56,27.60,23.40,2.17,20.25,21.06,29.70,8.10,4.24,31.40,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.40,4.63,14.60,15.75,0,25.90,4.61,18.43,18.43,0,16.50,4.72,14.50,14.85,0,,,,,
8/2/16 - 0:21:41,25.60,36.17,25.60,8.00,4.20,7.43,3.97,0,28.40,7.98,3.28,29.20,7.56,3.16,27.90,31.00,2.55,27.70,23.40,2.17,20.18,20.87,29.80,8.10,4.24,31.60,8.25,4.30,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.53,15.75,0,25.70,4.61,18.43,18.43,0,16.30,4.72,14.43,14.78,0,,,,,
8/2/16 - 0:26:51,25.50,36.17,25.50,8.00,4.20,7.48,3.99,0,28.50,7.98,3.28,29.20,7.56,3.16,27.90,31.00,2.55,27.60,23.40,2.17,20.12,20.93,29.60,8.10,4.24,31.70,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.40,4.63,14.53,15.75,0,25.60,4.61,18.37,18.43,0,16.30,4.73,14.37,14.72,0,,,,,
8/2/16 - 0:32:00,25.40,36.17,25.40,8.00,4.20,7.48,3.99,0,28.40,7.98,3.28,29.10,7.56,3.16,27.70,31.20,2.56,27.50,23.40,2.17,20.12,21.06,29.70,8.10,4.24,31.70,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.20,4.64,14.47,15.68,0,25.80,4.61,18.37,18.43,0,16.30,4.72,14.37,14.72,0,,,,,
8/2/16 - 0:37:10,25.40,36.17,25.40,8.00,4.20,7.48,3.99,0,28.50,8.02,3.29,29.10,7.56,3.16,27.70,31.00,2.55,27.40,23.40,2.17,20.12,20.93,29.70,8.12,4.25,31.20,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.41,15.68,0,25.80,4.62,18.43,18.43,0,16.20,4.72,14.31,14.60,0,,,,,
8/2/16 - 0:42:20,25.40,36.50,25.40,8.00,4.20,7.52,4.01,0,28.50,7.98,3.28,29.00,7.60,3.17,27.60,31.00,2.55,27.50,23.40,2.17,20.06,20.75,29.40,8.10,4.24,31.40,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.30,4.63,14.41,15.62,0,25.70,4.62,18.37,18.43,0,16.20,4.72,14.25,14.60,0,,,,,
8/2/16 - 0:47:30,25.30,36.50,25.30,8.05,4.22,7.52,4.01,0,28.30,7.98,3.28,29.10,7.56,3.16,27.60,31.20,2.56,27.40,23.40,2.17,20.06,20.87,29.30,8.12,4.25,30.90,8.30,4.32,,,,,,,,,,,,,,,,,0,0,,,16.10,4.63,14.35,15.56,0,25.70,4.62,18.37,18.43,0,16.20,4.72,14.18,14.53,0,,,,,
8/2/16 - 0:52:40,25.30,36.17,25.30,8.00,4.20,7.52,4.01,0,28.20,7.98,3.28,29.00,7.60,3.17,27.50,31.20,2.56,27.20,23.80,2.19,20.06,20.93,29.60,8.10,4.24,31.30,8.27,4.31,,,,,,,,,,,,,,,,,0,0,,,16.10,4.63,14.35,15.56,0,25.80,4.61,18.37,18.50,0,16.10,4.72,14.12,14.53,0,,,,,
