"Plot Title: duck"
"#","Date Time, GMT-07:00","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,06/17/16 08:53:29 AM,18.140,,,,,
2,06/17/16 08:55:23 AM,,Logged,,,,
3,06/17/16 09:53:29 AM,20.138,,,,,
4,06/17/16 09:58:41 AM,,,Logged,,,
5,06/17/16 09:58:42 AM,,,,Logged,,
6,06/17/16 10:53:29 AM,21.569,,,,,
7,06/17/16 11:46:44 AM,,,,Logged,,
8,06/17/16 11:47:10 AM,,Logged,,,,
9,06/17/16 11:53:29 AM,22.238,,,,,
10,06/17/16 12:00:39 PM,,,Logged,,,
11,06/17/16 12:00:41 PM,,,,Logged,,
12,06/17/16 12:00:58 PM,,Logged,,,,
13,06/17/16 12:53:29 PM,23.100,,,,,
14,06/17/16 01:53:29 PM,22.238,,,,,
15,06/17/16 02:53:29 PM,22.621,,,,,
16,06/17/16 03:53:29 PM,22.525,,,,,
17,06/17/16 04:53:29 PM,21.855,,,,,
18,06/17/16 05:53:29 PM,20.996,,,,,
19,06/17/16 06:53:29 PM,20.138,,,,,
20,06/17/16 07:53:29 PM,19.567,,,,,
21,06/17/16 08:53:29 PM,18.996,,,,,
22,06/17/16 09:53:29 PM,18.521,,,,,
23,06/17/16 10:53:29 PM,18.140,,,,,
24,06/17/16 11:53:29 PM,17.760,,,,,
25,06/18/16 12:53:29 AM,17.475,,,,,
26,06/18/16 01:53:29 AM,17.284,,,,,
27,06/18/16 02:53:29 AM,17.094,,,,,
28,06/18/16 03:53:29 AM,16.903,,,,,
29,06/18/16 04:53:29 AM,16.713,,,,,
30,06/18/16 05:53:29 AM,16.618,,,,,
31,06/18/16 06:53:29 AM,16.523,,,,,
32,06/18/16 07:53:29 AM,16.427,,,,,
33,06/18/16 08:53:29 AM,16.332,,,,,
34,06/18/16 09:53:29 AM,16.332,,,,,
35,06/18/16 10:53:29 AM,16.332,,,,,
36,06/18/16 11:53:29 AM,16.332,,,,,
37,06/18/16 12:53:29 PM,16.618,,,,,
38,06/18/16 01:53:29 PM,16.903,,,,,
39,06/18/16 02:53:29 PM,17.284,,,,,
