Sample.ID,TA,Mass,Type
20160805_Bin10,2844.038297,60.1572,NA
20160805_Bin11,2838.863892,60.6508,NA
20160805_Bin12,2856.050607,59.3527,NA
20160815_Bin2,2716.707059,60.1129,NA
20160815_Bin3,2698.201403,60.3303,NA
20160815_Bin4,2727.541032,60.1078,NA
20160815_Bin5,2724.691797,59.6696,NA
20160815_Bin6,2718.824803,59.3226,NA
20160815_Bin7,2825.786241,60.5911,NA
