sample,mass,salinity,Sample.ID,Type, Notes
20180711_JUNK,59.3809,35,JUNK,JUNK
20180711_CRM1,59.2144,33.481,CRM1,CRM, Bottle #168-0946
20180711_CRM2,59.0141,33.481,CRM2,CRM, Bottle #168-0946
