sample,mass,salinity,Sample.ID,Type, Notes
20180711_JUNK,59.1011,35,JUNK,JUNK
20180711_CRM1,59.9702,33.481,CRM1,CRM, Bottle #168-0946
20180711_CRM2,60.9102,33.481,CRM2,CRM, Bottle #168-0946
