Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T523
Scope 1/1, Sample 1/9 (20160815_Bin8)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-42.2,19.3,NaN,,
0.0010,1,-43.8,19.3,0.0010,,
0.0025,2,-44.2,19.3,0.0015,,
0.0050,3,-44.6,19.3,0.0025,,
0.0090,4,-44.9,19.3,0.0035,,
0.0150,5,-45.3,19.3,0.0055,,
0.0235,6,-45.5,19.3,0.0075,,
0.0320,7,-45.7,19.3,0.0075,,
0.0405,8,-45.8,19.3,0.0085,,
0.0480,9,-46.0,19.3,0.0070,,
0.0565,10,-46.1,19.3,0.0075,,
0.0650,11,-46.2,19.3,0.0075,,
0.0735,12,-46.2,19.3,0.0075,,
0.0820,13,-46.2,19.3,0.0075,,
0.0900,14,-46.3,19.3,0.0080,,
0.0980,15,-46.3,19.3,0.0075,,
0.1060,16,-46.4,19.3,0.0075,,
0.1145,17,-46.3,19.3,0.0075,,
0.1230,18,-46.3,19.3,0.0075,,
0.1315,19,-46.2,19.3,0.0075,,
0.1390,20,-46.2,19.3,0.0075,,
0.1475,21,-46.1,19.3,0.0075,,
0.1560,22,-45.9,19.3,0.0075,,
0.1645,23,-45.9,19.3,0.0075,,
0.1730,24,-45.7,19.3,0.0075,,
0.1810,25,-45.6,19.3,0.0075,,
0.1890,26,-45.4,19.3,0.0080,,
0.1970,27,-45.2,19.3,0.0075,,
0.2055,28,-45.0,19.3,0.0075,,
0.2140,29,-44.9,19.3,0.0075,,
0.2225,30,-44.6,19.3,0.0075,,
0.2310,31,-44.3,19.3,0.0075,,
0.2385,32,-44.0,19.3,0.0070,,
0.2470,33,-43.8,19.3,0.0075,,
0.2555,34,-43.5,19.3,0.0075,,
0.2635,35,-43.3,19.3,0.0075,,
0.2720,36,-42.9,19.3,0.0075,,
0.2805,37,-42.6,19.3,0.0075,,
0.2880,38,-42.2,19.3,0.0075,,
0.2965,39,-41.8,19.3,0.0075,,
0.3050,40,-41.4,19.3,0.0075,,
0.3135,41,-41.0,19.3,0.0075,,
0.3220,42,-40.5,19.3,0.0075,,
0.3300,43,-40.1,19.3,0.0075,,
0.3380,44,-39.7,19.3,0.0075,,
0.3460,45,-39.1,19.3,0.0075,,
0.3545,46,-38.6,19.3,0.0075,,
0.3630,47,-38.0,19.3,0.0075,,
0.3715,48,-37.4,19.3,0.0075,,
0.3800,49,-36.8,19.3,0.0075,,
0.3875,50,-36.2,19.3,0.0070,,
0.3960,51,-35.5,19.3,0.0075,,
0.4045,52,-34.8,19.3,0.0075,,
0.4130,53,-34.0,19.3,0.0075,,
0.4210,54,-33.2,19.3,0.0075,,
0.4295,55,-32.4,19.3,0.0085,,
0.4370,56,-31.5,19.3,0.0070,,
0.4455,57,-30.5,19.3,0.0075,,
0.4540,58,-29.4,19.3,0.0075,,
0.4625,59,-28.4,19.3,0.0075,,
0.4710,60,-27.2,19.3,0.0075,,
0.4795,61,-26.1,19.3,0.0085,,
0.4870,62,-24.7,19.3,0.0070,,
0.4955,63,-23.2,19.3,0.0075,,
0.5040,64,-21.7,19.3,0.0075,,
0.5120,65,-20.0,19.3,0.0075,,
0.5205,66,-18.2,19.3,0.0075,,
0.5280,67,-16.5,19.3,0.0075,,
0.5365,68,-14.6,19.3,0.0075,,
0.5450,69,-12.9,19.3,0.0075,,
0.5535,70,-11.4,19.3,0.0075,,
0.5620,71,-10.0,19.3,0.0075,,
0.5705,72,-8.7,19.3,0.0075,,
0.5780,73,-7.7,19.3,0.0075,,
0.5865,74,-6.7,19.3,0.0075,,
0.5945,75,-5.7,19.3,0.0075,,
0.6030,76,-4.8,19.3,0.0075,,
0.6115,77,-3.2,19.3,0.0075,,
0.6200,78,-1.8,19.3,0.0075,,
0.6275,79,-1.0,19.3,0.0070,,
0.6360,80,-0.3,19.3,0.0075,,
0.6445,81,-0.2,19.3,0.0075,,
0.6530,82,0.2,19.3,0.0075,,
0.6610,83,0.9,19.3,0.0075,,
0.6695,84,2.2,19.3,0.0075,,
0.6770,85,2.7,19.3,0.0075,,
0.6855,86,3.2,19.3,0.0075,,
0.6940,87,3.7,19.3,0.0075,,
0.7025,88,4.4,19.3,0.0075,,
0.7110,89,4.9,19.3,0.0075,,
0.7195,90,5.5,19.3,0.0075,,
0.7270,91,5.9,19.3,0.0075,,
0.7355,92,6.4,19.3,0.0075,,
0.7435,93,7.0,19.3,0.0075,,
0.7520,94,7.5,19.3,0.0075,,
0.7605,95,8.4,19.3,0.0075,,
0.7690,96,9.1,19.3,0.0075,,
0.7775,97,9.6,19.3,0.0085,,
0.7850,98,10.2,19.3,0.0070,,
0.7935,99,10.7,19.3,0.0075,,
0.8020,100,11.3,19.3,0.0075,,
0.8105,101,11.9,19.3,0.0075,,
0.8185,102,12.6,19.3,0.0075,,
0.8260,103,13.3,19.3,0.0075,,
0.8345,104,14.1,19.3,0.0075,,
0.8430,105,14.6,19.3,0.0075,,
0.8515,106,15.1,19.3,0.0075,,
0.8600,107,15.7,19.3,0.0075,,
0.8685,108,16.2,19.3,0.0075,,
0.8760,109,16.9,19.3,0.0075,,
0.8845,110,17.4,19.3,0.0075,,
0.8930,111,18.2,19.3,0.0075,,
0.9010,112,19.4,19.4,0.0075,,
0.9095,113,20.0,19.3,0.0075,,
0.9180,114,20.3,19.3,0.0075,,
0.9255,115,20.9,19.4,0.0070,,
0.9340,116,21.4,19.3,0.0075,,
0.9425,117,21.8,19.3,0.0075,,
0.9510,118,22.3,19.3,0.0075,,
0.9595,119,22.8,19.3,0.0075,,
0.9675,120,23.3,19.3,0.0075,,
0.9755,121,23.8,19.3,0.0080,,
0.9835,122,24.3,19.3,0.0075,,
0.9920,123,25.0,19.3,0.0075,,
1.0005,124,25.6,19.3,0.0075,,
1.0090,125,26.2,19.4,0.0075,,
1.0175,126,26.7,19.4,0.0075,,
1.0250,127,27.2,19.4,0.0070,,
1.0335,128,27.8,19.4,0.0075,,
1.0420,129,28.4,19.4,0.0075,,
1.0500,130,29.2,19.4,0.0075,,
1.0585,131,30.0,19.4,0.0075,,
1.0670,132,30.5,19.4,0.0075,,
1.0745,133,31.0,19.4,0.0070,,
1.0830,134,31.6,19.4,0.0075,,
1.0915,135,32.3,19.4,0.0075,,
1.1000,136,33.0,19.4,0.0075,,
1.1085,137,33.5,19.4,0.0075,,
1.1170,138,34.2,19.4,0.0075,,
1.1245,139,34.8,19.4,0.0070,,
1.1330,140,35.4,19.4,0.0075,,
1.1410,141,36.1,19.4,0.0075,,
1.1495,142,37.1,19.4,0.0075,,
1.1580,143,37.8,19.4,0.0075,,
1.1665,144,38.2,19.4,0.0085,,
1.1740,145,39.0,19.4,0.0070,,
1.1825,146,39.6,19.4,0.0075,,
1.1910,147,40.2,19.4,0.0075,,
1.1995,148,40.8,19.4,0.0075,,
1.2080,149,41.4,19.4,0.0075,,
1.2155,150,42.1,19.4,0.0075,,
1.2240,151,42.7,19.4,0.0075,,
1.2320,152,43.4,19.4,0.0075,,
1.2405,153,44.1,19.4,0.0075,,
1.2490,154,45.1,19.4,0.0075,,
1.2575,155,45.8,19.4,0.0070,,
1.2660,156,46.5,19.4,0.0085,,
1.2735,157,47.5,19.4,0.0070,,
1.2820,158,48.3,19.4,0.0075,,
1.2905,159,49.1,19.4,0.0075,,
1.2985,160,50.1,19.4,0.0075,,
1.3070,161,50.8,19.4,0.0075,,
1.3145,162,51.6,19.4,0.0075,,
1.3230,163,52.3,19.4,0.0075,,
1.3315,164,53.0,19.4,0.0075,,
1.3400,165,53.9,19.4,0.0075,,
1.3485,166,54.9,19.4,0.0075,,
1.3570,167,55.7,19.4,0.0075,,
1.3645,168,56.5,19.4,0.0075,,
1.3730,169,57.4,19.4,0.0075,,
1.3810,170,58.3,19.4,0.0075,,
1.3895,171,59.3,19.4,0.0075,,
1.3980,172,60.3,19.4,0.0075,,
1.4065,173,61.8,19.4,0.0075,,
1.4140,174,62.8,19.4,0.0075,,
1.4225,175,63.9,19.4,0.0075,,
1.4310,176,65.4,19.4,0.0075,,
1.4395,177,66.3,19.4,0.0075,,
1.4480,178,67.4,19.4,0.0075,,
1.4560,179,68.6,19.4,0.0075,,
1.4640,180,69.7,19.4,0.0080,,
1.4720,181,71.1,19.4,0.0075,,
1.4805,182,72.8,19.4,0.0075,,
1.4890,183,74.2,19.4,0.0075,,
1.4975,184,75.6,19.4,0.0075,,
1.5060,185,77.3,19.4,0.0075,,
1.5135,186,78.7,19.4,0.0070,,
1.5220,187,80.4,19.4,0.0075,,
1.5305,188,82.1,19.4,0.0075,,
1.5385,189,84.4,19.4,0.0075,,
1.5470,190,86.4,19.4,0.0075,,
1.5555,191,88.5,19.4,0.0075,,
1.5630,192,90.6,19.4,0.0070,,
1.5715,193,93.4,19.4,0.0075,,
1.5800,194,95.9,19.4,0.0075,,
1.5885,195,98.7,19.4,0.0075,,
1.5970,196,101.5,19.4,0.0075,,
1.6055,197,104.7,19.4,0.0085,,
1.6130,198,107.6,19.4,0.0070,,
1.6215,199,110.9,19.4,0.0075,,
1.6295,200,114.2,19.4,0.0075,,
1.6380,201,117.8,19.4,0.0075,,
1.6465,202,121.4,19.4,0.0075,,
1.6550,203,124.8,19.4,0.0075,,
1.6625,204,128.1,19.4,0.0070,,
1.6710,205,131.6,19.4,0.0075,,
1.6795,206,134.9,19.4,0.0075,,
1.6880,207,138.4,19.4,0.0075,,
1.6965,208,141.7,19.4,0.0075,,
1.7040,209,144.6,19.4,0.0075,,
1.7125,210,147.7,19.4,0.0075,,
1.7205,211,150.8,19.4,0.0075,,
1.7290,212,153.7,19.4,0.0075,,
1.7375,213,156.7,19.4,0.0075,,
1.7460,214,159.4,19.4,0.0075,,
1.7535,215,161.9,19.4,0.0075,,
1.7620,216,164.4,19.4,0.0075,,
1.7705,217,167.1,19.4,0.0075,,
1.7790,218,169.5,19.4,0.0075,,
1.7875,219,171.7,19.4,0.0075,,
1.7955,220,173.9,19.4,0.0075,,
1.8035,221,175.8,19.4,0.0075,,
1.8115,222,177.9,19.4,0.0075,,
1.8200,223,179.9,19.4,0.0075,,
1.8285,224,181.7,19.4,0.0075,,
