#Type Group, Type, Annotation, Link, Image filename
"note","","Generated by CoGe's Methylation Analysis Pipeline","https://genomevolution.org/wiki/index.php/Methylation_Analysis_Pipeline",""
"note","","bismark_methylation_extractor --ignore 0 --ignore_3prime 0","",""
