"Exposure","Treatment","variable","N","mean","sd","sem"
"Exposure1","Ambient","Salinity",10,26.67,0.838053299816505,0.265015722804013
"Exposure1","Ambient","Temperature",10,14.318,0.537066103938798,0.169835214251933
"Exposure1","Ambient","pH",10,7.92187393789905,0.0745496431325903,0.0235746671051715
"Exposure1","Ambient","CO2",10,21.5189327130716,3.68152324784797,1.16419987220602
"Exposure1","Ambient","pCO2",10,537.817844089311,86.6936868295932,27.4149509138856
"Exposure1","Ambient","HCO3",10,1835.58758406352,36.888816395799,11.6652679998488
"Exposure1","Ambient","CO3",10,91.0612584040069,15.4394085278378,4.88236966737945
"Exposure1","Ambient","DIC",10,1948.1677751806,25.1346929295855,7.94828779464204
"Exposure1","Ambient","TA",10,2060,0,0
"Exposure1","Ambient","Aragonite.Sat",10,1.42988332560993,0.247482593114749,0.078260867548731
"Exposure1","High","Salinity",10,26.65,0.850163382990456,0.268845267352389
"Exposure1","High","Temperature",10,14.593,0.702725645848601,0.222221361109443
"Exposure1","High","pH",10,7.04613981427815,0.0425905361997983,0.0134683101159215
"Exposure1","High","CO2",10,175.560253088518,18.8714346161672,5.96767161020337
"Exposure1","High","pCO2",10,4427.10809132703,416.362669290207,131.66543676245
"Exposure1","High","HCO3",10,2026.92575153382,3.65336363171171,1.15529501970336
"Exposure1","High","CO3",10,13.4449157561636,1.4996765043729,0.474239350725781
"Exposure1","High","DIC",10,2215.9309203785,21.018967361238,6.64678109262513
"Exposure1","High","TA",10,2060,0,0
"Exposure1","High","Aragonite.Sat",10,0.211290696960771,0.024098068972843,0.00762047851660183
"Exposure1","Mid","Salinity",10,26.62,0.868971294756686,0.274792851273666
"Exposure1","Mid","Temperature",10,14.518,0.700647319745581,0.22156413668883
"Exposure1","Mid","pH",10,7.40109622920405,0.0514697420408096,0.0162761615430282
"Exposure1","Mid","CO2",10,76.2735793592207,8.68941251823171,2.74783350863916
"Exposure1","Mid","pCO2",10,1918.59014520634,197.144150562834,62.342454315772
"Exposure1","Mid","HCO3",10,1986.57416117022,9.77254025030795,3.09034857166451
"Exposure1","Mid","CO3",10,29.7764538898418,4.063526254312,1.28499982955185
"Exposure1","Mid","DIC",10,2092.62419441928,14.3791929589124,4.54710006652191
"Exposure1","Mid","TA",10,2060,0,0
"Exposure1","Mid","Aragonite.Sat",10,0.467882147821461,0.065350371672663,0.0206656020424163
"Exposure2","Ambient","Salinity",12,28.525,0.0452267016866652,0.0130558241966775
"Exposure2","Ambient","Temperature",12,18.6275,0.449143123574819,0.129656451650296
"Exposure2","Ambient","pH",12,7.95411953064256,0.00568421365722668,0.00164089114256558
"Exposure2","Ambient","CO2",12,16.8377494953797,0.228830649788931,0.0660577186272381
"Exposure2","Ambient","pCO2",12,484.216552275113,7.58330846944463,2.18911259309091
"Exposure2","Ambient","HCO3",12,1772.8121466386,3.62074373606182,1.04521868534097
"Exposure2","Ambient","CO3",12,116.050369028881,1.50262946798453,0.433771763916567
"Exposure2","Ambient","DIC",12,1905.70026516287,2.33868324215339,0.675119699703264
"Exposure2","Ambient","TA",12,2060,0,0
"Exposure2","Ambient","Aragonite.Sat",12,1.84466851442901,0.0262855303492812,0.0075879790114748
"Exposure2","Low","Salinity",12,28.55,0.0522232967867101,0.0150755672288884
"Exposure2","Low","Temperature",12,18.7791666666667,0.47970555994529,0.138479067083087
"Exposure2","Low","pH",12,7.47238097348565,0.0718855593315223,0.0207515735154506
"Exposure2","Low","CO2",12,56.929035127957,10.4394852268295,3.01361980295556
"Exposure2","Low","pCO2",12,1640.89028175199,279.636221404436,80.7240238515105
"Exposure2","Low","HCO3",12,1953.55763141835,18.1089318935809,5.22759835174777
"Exposure2","Low","CO3",12,43.0234301359837,7.35214926451495,2.12238267849501
"Exposure2","Low","DIC",12,2053.51009668229,21.1925270401144,6.11775559570922
"Exposure2","Low","TA",12,2060,0,0
"Exposure2","Low","Aragonite.Sat",12,0.684491954235896,0.118420410591224,0.0341850279661945
