"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"Ambient",26.5125,0.308474066981327,14.38375,0.207751031456955,7.92985844102003,0.0291144457263061,26.0347915486255,1.80781222535964,651.169917173463,42.6526292094998,2252.54761674283,26.1496407247456,113.781941989476,7.29149054417316,2392.36435028093,22.8323830401746,2521.28875,18.2214044500946,1.78879837898497,0.116874730910639
"High",26.4875,0.311928048022067,14.62625,0.278240244983668,7.03916873892754,0.0160029022216742,215.27086275319,8.07516173290256,5429.09311571101,177.102362788145,2443.7472603257,21.8807437583943,15.9268723922326,0.742809575801787,2674.94499547112,23.1887727609726,2481.40625,22.7155828309162,0.250589671824477,0.0119730073053759
"Mid",26.45,0.317355141307472,14.5425,0.271732207986361,7.40724342226879,0.0199681202425095,93.6078645142448,4.63129783178395,2352.86905954252,104.819150154156,2462.54029925329,28.1727637861054,37.2986534639551,1.85508635664943,2593.44681723149,30.7668252669349,2550.57875,27.0264002833671,0.586690055702533,0.0298244914813565
